1,2,3,4,5,6,7,sum,interpretation
1,1,1,1,1,1,1,21,Abnormal
2,1,2,1,1,1,1,27,Abnormal
1,1,1,1,1,1,1,21,Abnormal
1,1,1,2,1,1,1,24,Abnormal
1,2,2,1,1,1,1,27,Abnormal
2,1,2,1,1,1,1,27,Abnormal
1,1,2,0,1,1,1,21,Abnormal
2,1,2,1,1,1,1,27,Abnormal
2,1,2,1,1,1,1,27,Abnormal
1,2,3,2,1,1,1,33,Abnormal
1,1,1,1,1,1,1,21,Abnormal
1,1,1,1,1,1,2,24,Abnormal
1,2,1,2,1,1,1,27,Abnormal
2,2,2,2,1,1,2,36,Abnormal
1,1,2,2,1,1,1,27,Abnormal
2,1,2,0,1,1,1,24,Abnormal
2,1,2,1,1,1,1,27,Abnormal
1,1,1,1,1,1,1,21,Abnormal
1,1,1,2,1,1,1,24,Abnormal
1,2,1,0,1,1,1,21,Abnormal
